Year,Month,jobs
1939,Jan,912.0
1940,Jan,980.0
1941,Jan,1201.0
1942,Jan,1756.0
1943,Jan,2956.0
1944,Jan,3041.0
1945,Jan,3134.0
1946,Jan,2564.0
1947,Jan,2143.0
1948,Jan,1889.0
1949,Jan,2025.0
1950,Jan,1921.0
1951,Jan,2225.0
1952,Jan,2518.0
1953,Jan,2526.0
1954,Jan,2329.0
1955,Jan,2283.0
1956,Jan,2301.0
1957,Jan,2345.0
1958,Jan,2281.0
1959,Jan,2339.0
1960,Jan,2333.0
1961,Jan,2356.0
1962,Jan,2433.0
1963,Jan,2480.0
1964,Jan,2474.0
1965,Jan,2473.0
1966,Jan,2563.0
1967,Jan,2814.0
1968,Jan,2871.0
1969,Jan,2910.0
1970,Jan,2861.0
1971,Jan,2823.0
1972,Jan,2839.0
1973,Jan,2805.0
1974,Jan,2817.0
1975,Jan,2873.0
1976,Jan,2887.0
1977,Jan,2851.0
1978,Jan,2881.0
1979,Jan,2916.0
1980,Jan,2886.0
1981,Jan,2961.0
1982,Jan,2902.0
1983,Jan,2921.0
1984,Jan,2920.0
1985,Jan,2964.0
1986,Jan,3055.0
1987,Jan,3060.0
1988,Jan,3125.0
1989,Jan,3158.0
1990,Jan,3103.0
1991,Jan,3098.0
1992,Jan,3137.0
1993,Jan,3092.0
1994,Jan,3053.0
1995,Jan,2973.0
1996,Jan,2900.0
1997,Jan,2845.0
1998,Jan,2772.0
1999,Jan,2765.0
2000,Jan,2768.0
2001,Jan,2753.0
2002,Jan,2756.0
2003,Jan,2789.0
2004,Jan,2732.0
2005,Jan,2727.0
2006,Jan,2727.0
2007,Jan,2731.0
2008,Jan,2738.0
2009,Jan,2786.0
2010,Jan,2860.0
2011,Jan,2874.0
2012,Jan,2833.0
2013,Jan,2806.0
2014,Jan,2734.0
2015,Jan,2742.0
2016,Jan,2768.0
2017,Jan,2814.0
1939,Feb,925.0
1940,Feb,984.0
1941,Feb,1225.0
1942,Feb,1834.0
1943,Feb,3027.0
1944,Feb,3030.0
1945,Feb,3134.0
1946,Feb,2527.0
1947,Feb,2110.0
1948,Feb,1884.0
1949,Feb,2008.0
1950,Feb,1903.0
1951,Feb,2273.0
1952,Feb,2513.0
1953,Feb,2509.0
1954,Feb,2313.0
1955,Feb,2281.0
1956,Feb,2302.0
1957,Feb,2346.0
1958,Feb,2282.0
1959,Feb,2336.0
1960,Feb,2334.0
1961,Feb,2360.0
1962,Feb,2439.0
1963,Feb,2484.0
1964,Feb,2473.0
1965,Feb,2471.0
1966,Feb,2590.0
1967,Feb,2823.0
1968,Feb,2865.0
1969,Feb,2903.0
1970,Feb,2849.0
1971,Feb,2816.0
1972,Feb,2831.0
1973,Feb,2796.0
1974,Feb,2833.0
1975,Feb,2873.0
1976,Feb,2882.0
1977,Feb,2851.0
1978,Feb,2881.0
1979,Feb,2912.0
1980,Feb,2907.0
1981,Feb,2946.0
1982,Feb,2894.0
1983,Feb,2910.0
1984,Feb,2922.0
1985,Feb,2961.0
1986,Feb,3056.0
1987,Feb,3064.0
1988,Feb,3119.0
1989,Feb,3159.0
1990,Feb,3109.0
1991,Feb,3096.0
1992,Feb,3121.0
1993,Feb,3079.0
1994,Feb,3046.0
1995,Feb,2970.0
1996,Feb,2905.0
1997,Feb,2838.0
1998,Feb,2768.0
1999,Feb,2773.0
2000,Feb,2796.0
2001,Feb,2752.0
2002,Feb,2757.0
2003,Feb,2789.0
2004,Feb,2731.0
2005,Feb,2728.0
2006,Feb,2733.0
2007,Feb,2732.0
2008,Feb,2747.0
2009,Feb,2795.0
2010,Feb,2872.0
2011,Feb,2876.0
2012,Feb,2828.0
2013,Feb,2806.0
2014,Feb,2730.0
2015,Feb,2747.0
2016,Feb,2778.0
2017,Feb,2810.0
1939,Mar,929.0
1940,Mar,993.0
1941,Mar,1247.0
1942,Mar,1949.0
1943,Mar,3055.0
1944,Mar,3021.0
1945,Mar,3120.0
1946,Mar,2488.0
1947,Mar,2077.0
1948,Mar,1884.0
1949,Mar,2004.0
1950,Mar,2038.0
1951,Mar,2315.0
1952,Mar,2515.0
1953,Mar,2486.0
1954,Mar,2309.0
1955,Mar,2285.0
1956,Mar,2302.0
1957,Mar,2347.0
1958,Mar,2281.0
1959,Mar,2336.0
1960,Mar,2523.0
