turns,winner,white_rating,black_rating,opening_name,opening_ply
13,white,1500,1191,Slav Defense: Exchange Variation,5
16,black,1322,1261,Nimzowitsch Defense: Kennedy Variation,4
61,white,1496,1500,King's Pawn Game: Leonardis Variation,3
61,white,1439,1454,Queen's Pawn Game: Zukertort Variation,3
95,white,1523,1469,Philidor Defense,5
5,draw,1250,1002,Sicilian Defense: Mongoose Variation,4
33,white,1520,1423,Blackmar-Diemer Gambit: Pietrowsky Defense,10
9,black,1413,2108,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
66,black,1439,1392,Italian Game: Schilling-Kostic Gambit,6
119,white,1381,1209,Scandinavian Defense: Mieses-Kotroc Variation,4
39,white,1381,1272,Van't Kruijs Opening,1
38,black,1381,1867,French Defense: Advance Variation |  Paulsen Attack,9
60,black,1381,1936,French Defense: Knight Variation,3
31,black,1381,1607,French Defense #2,2
31,white,1094,1141,Four Knights Game: Italian Variation,8
43,black,1141,1094,Italian Game: Two Knights Defense |  Knight Attack,7
52,black,1094,1141,Four Knights Game: Italian Variation,8
66,black,1141,1094,Four Knights Game: Italian Variation,8
101,black,1094,1300,Philidor Defense #3,5
25,white,1500,1094,Queen's Pawn Game,2
14,black,1094,1676,Italian Game: Anti-Fried Liver Defense,6
3,white,1094,1068,Horwitz Defense,2
17,white,1500,1094,Sicilian Defense: Bowdler Attack,3
36,white,1307,1106,English Opening: King's English Variation |  Reversed Closed Sicilian,4
13,black,1113,1423,Sicilian Defense: Smith-Morra Gambit #2,3
69,white,1078,1219,Queen's Pawn Game: Chigorin Variation,4
43,white,1825,1079,Scotch Game: Haxo Gambit,8
54,black,1328,1038,Queen's Pawn Game: Chigorin Variation,4
53,black,1056,1156,Slav Defense,4
66,black,1077,1148,Queen's Gambit Refused: Marshall Defense,4
64,black,1358,1036,Sicilian Defense: Smith-Morra Gambit #2,3
64,black,1200,1002,Sicilian Defense: Canal Attack |  Main Line,6
54,white,1203,1019,Sicilian Defense,3
21,black,1019,1500,Queen's Gambit Accepted: Central Variation |  Greco Variation,6
11,white,1422,975,Sicilian Defense: Bowdler Attack,3
19,black,976,1832,Robatsch (Modern) Defense,4
28,white,1569,978,Blackmar-Diemer Gambit: Tartakower Variation,10
22,black,978,1500,Indian Game,2
37,white,1500,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
34,white,2449,978,English Opening: King's English Variation |  Reversed Sicilian,3
32,draw,1207,978,Sicilian Defense: Dragon Variation,10
71,black,1241,978,Sicilian Defense: Closed Variation,3
