date,quarter,team,smv,over_time,incentive,no_of_workers,actual_productivity,targeted_productivity
2015-01-01,Quarter1,1,3.94,2.0,0.0,8.0,0.8865,0.75
2015-01-01,Quarter1,2,3.94,2.0,0.0,8.0,0.755166667,0.75
2015-01-01,Quarter1,10,3.94,2.0,0.0,8.0,0.705916667,0.65
2015-01-01,Quarter1,8,2.9,2.0,0.0,8.0,0.676666667,0.75
2015-01-01,Quarter1,4,3.94,2.0,0.0,18.0,0.593055556,0.75
2015-01-01,Quarter1,7,2.9,2.0,0.0,8.0,0.540729167,0.8
2015-01-01,Quarter1,11,4.15,2.0,0.0,12.0,0.436326389,0.7
2015-01-03,Quarter1,4,4.15,5.5,0.0,20.0,0.988024691,0.8
2015-01-03,Quarter1,11,2.9,5.529411764705882,0.0,17.0,0.987880435,0.75
2015-01-03,Quarter1,9,4.15,2.0,0.0,8.0,0.956270833,0.8
2015-01-03,Quarter1,3,3.94,3.25,0.0,8.0,0.945277778,0.75
2015-01-03,Quarter1,1,3.94,2.0,0.0,8.0,0.902916667,0.8
2015-01-03,Quarter1,2,4.15,2.0,0.0,8.0,0.782447917,0.8
2015-01-03,Quarter1,10,4.15,2.0,0.0,8.0,0.7018125,0.7
2015-01-03,Quarter1,8,2.9,2.0,0.0,8.0,0.628333333,0.8
2015-01-03,Quarter1,7,3.94,2.0,0.0,8.0,0.6253125,0.8
2015-01-04,Quarter1,3,4.15,3.25,0.0,8.0,0.991388889,0.75
2015-01-04,Quarter1,9,3.94,2.0,0.0,8.0,0.931645833,0.8
2015-01-04,Quarter1,1,3.94,2.0,0.0,8.0,0.915229167,0.8
2015-01-04,Quarter1,4,3.94,5.5,0.0,20.0,0.861679012,0.8
2015-01-04,Quarter1,2,3.94,2.0,0.0,8.0,0.792104167,0.8
2015-01-04,Quarter1,10,3.94,4.0,0.0,18.0,0.759228395,0.7
2015-01-04,Quarter1,8,2.9,2.0,0.0,8.0,0.682708333,0.8
2015-01-04,Quarter1,7,2.9,2.0,0.0,8.0,0.667604167,0.8
2015-01-04,Quarter1,11,4.15,2.0,0.0,8.0,0.345833333,0.75
2015-01-05,Quarter1,1,3.94,4.0,0.0,8.0,0.961059028,0.8
2015-01-05,Quarter1,11,3.94,4.0,0.0,10.0,0.939513889,0.8
2015-01-05,Quarter1,4,3.94,4.0,0.0,16.0,0.893663194,0.8
2015-01-05,Quarter1,3,4.15,4.0,0.0,8.0,0.875390625,0.75
2015-01-05,Quarter1,9,2.9,4.0,0.0,8.0,0.820833333,0.8
2015-01-05,Quarter1,2,3.94,2.0,0.0,8.0,0.804416667,0.8
